,host_name,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,host_identity_verified,neighbourhood_cleansed,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
0,Fangfang,within a day,100%,80%,f,1.0,7.0,"['email', 'phone']",t,Inner Sunset,Private room,1,2.0,1.0,1.0,$50.00,30,365,30.0,30.0,365.0,365.0,30.0,365.0,t,0,29,59,122,0,0,0,122,0,0,0.0,,,,,,,,f,1,0,1,0,
1,Giancarlo,a few days or more,0%,0%,f,1.0,1.0,['phone'],t,Western Addition,Entire home/apt,2,1.0,1.0,1.0,$150.00,30,31,30.0,30.0,31.0,31.0,30.0,31.0,t,24,54,84,358,2,0,0,299,0,0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,f,1,1,0,0,0.05
2,Dawn,within an hour,100%,96%,t,3.0,3.0,"['email', 'phone']",t,North Beach,Entire home/apt,3,1.0,1.0,2.0,$140.00,30,365,30.0,33.0,365.0,365.0,30.4,365.0,t,28,28,28,107,21,0,0,107,0,0,0.0,4.9,4.9,4.76,4.95,4.95,5.0,4.62,f,1,1,0,0,0.13
3,Kelly,,,100%,f,1.0,10.0,"['email', 'phone', 'work_email']",t,Western Addition,Private room,2,1.0,1.0,1.0,$320.00,1,365,1.0,1.0,10.0,10.0,1.0,10.0,t,12,31,53,307,0,0,0,252,0,0,0.0,,,,,,,,t,1,0,1,0,
4,Kate,,,100%,f,1.0,1.0,"['email', 'phone']",t,Outer Sunset,Private room,2,1.0,1.0,2.0,$81.00,30,60,30.0,30.0,60.0,60.0,30.0,60.0,t,23,53,83,83,3,0,0,83,0,0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,0,1,0,0.1
5,Qiao Shi,within an hour,100%,100%,t,2.0,2.0,"['email', 'phone']",t,Outer Richmond,Entire home/apt,3,1.0,1.0,1.0,$113.00,1,365,1.0,1.0,365.0,365.0,1.0,365.0,t,7,25,45,113,79,78,5,113,68,255,28815.0,4.95,4.94,4.97,4.99,4.99,4.94,4.81,f,1,1,0,0,6.29
6,Jeff,within a few hours,100%,100%,t,2.0,3.0,"['email', 'phone']",t,Inner Richmond,Entire home/apt,5,1.0,2.0,4.0,$328.00,30,365,30.0,30.0,365.0,365.0,30.0,365.0,t,30,60,90,269,26,26,1,269,25,255,83640.0,4.85,4.85,4.81,4.85,4.92,5.0,4.73,t,2,2,0,0,2.8
7,Jeff,within a few hours,100%,100%,t,2.0,3.0,"['email', 'phone']",t,Inner Richmond,Entire home/apt,5,1.0,3.0,4.0,$328.00,30,365,30.0,30.0,365.0,365.0,30.0,365.0,t,30,60,90,269,9,9,0,269,9,255,83640.0,4.78,5.0,5.0,4.89,5.0,4.89,4.78,t,2,2,0,0,1.28
8,Emily,within an hour,100%,81%,f,2.0,3.0,"['email', 'phone', 'work_email']",t,Inner Sunset,Entire home/apt,2,1.0,1.0,0.0,$248.00,3,10,3.0,3.0,10.0,10.0,3.0,10.0,t,0,26,56,139,1,1,0,139,1,11,2728.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0,0.48
9,Voytek,within an hour,100%,100%,f,1.0,1.0,"['email', 'phone']",t,Twin Peaks,Entire home/apt,4,1.0,2.0,3.0,$328.00,1,180,1.0,1.0,1125.0,1125.0,1.0,1125.0,t,8,38,63,318,115,9,5,259,2,99,32472.0,4.97,4.97,4.98,4.97,4.97,4.85,4.78,t,1,1,0,0,1.12
10,Qiao Shi,within an hour,100%,100%,,2.0,2.0,"['email', 'phone']",t,Outer Richmond,Entire home/apt,6,2.0,4.0,4.0,$206.00,1,28,1.0,1.0,28.0,28.0,1.0,28.0,t,10,25,46,118,65,65,4,118,56,255,52530.0,4.97,4.95,4.97,4.97,4.98,4.97,4.88,f,1,1,0,0,6.17
11,Jian,within an hour,100%,100%,t,1.0,1.0,"['email', 'phone']",t,Visitacion Valley,Entire home/apt,6,1.0,2.0,5.0,$172.00,1,28,1.0,1.0,1125.0,1125.0,1.0,1125.0,t,14,44,73,73,137,15,0,73,14,165,28380.0,4.82,4.88,4.94,4.96,4.93,4.53,4.68,f,1,1,0,0,2.02
12,Sally,within an hour,100%,100%,t,3.0,3.0,"['email', 'phone']",t,North Beach,Private room,2,1.0,1.0,1.0,$198.00,2,30,2.0,2.0,30.0,30.0,2.0,30.0,t,8,22,45,45,0,0,0,45,0,0,0.0,,,,,,,,f,3,1,2,0,
13,Sally,within an hour,100%,100%,t,3.0,3.0,"['email', 'phone']",t,North Beach,Private room,2,1.0,1.0,1.0,$190.00,2,31,2.0,2.0,31.0,31.0,2.0,31.0,t,8,22,45,45,0,0,0,45,0,0,0.0,,,,,,,,f,3,1,2,0,
14,Sally,within an hour,100%,100%,t,3.0,3.0,"['email', 'phone']",t,North Beach,Entire home/apt,5,2.0,2.0,2.0,$524.00,2,29,2.0,2.0,29.0,29.0,2.0,29.0,t,8,22,45,71,60,14,1,71,16,154,80696.0,5.0,4.98,4.98,4.97,4.98,5.0,4.87,f,3,1,2,0,2.28
15,Sal,within a day,100%,49%,t,1.0,3.0,"['email', 'phone']",t,Western Addition,Private room,2,1.0,1.0,1.0,$155.00,1,12,1.0,1.0,12.0,12.0,1.0,12.0,t,28,57,81,351,112,26,1,292,24,255,39525.0,4.96,4.99,4.97,4.96,4.98,4.92,4.81,f,1,0,1,0,0.8
16,Leila,within an hour,100%,100%,t,1.0,3.0,"['email', 'phone']",t,Marina,Entire home/apt,5,2.0,2.0,3.0,$298.00,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,t,0,30,60,244,8,3,0,244,3,180,53640.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0,0.15
17,Daniel,,,,f,1.0,1.0,"['email', 'phone']",f,Western Addition,Entire home/apt,2,1.0,1.0,1.0,$175.00,365,1125,365.0,365.0,1125.0,1125.0,365.0,1125.0,t,30,60,90,364,0,0,0,305,0,0,0.0,,,,,,,,t,1,1,0,0,
18,Ste & Juan,within a day,100%,88%,f,2.0,3.0,"['email', 'phone', 'work_email']",t,Castro/Upper Market,Private room,2,1.0,1.0,1.0,$158.00,1,25,1.0,1.0,25.0,25.0,1.0,25.0,t,1,1,1,1,21,1,0,1,1,11,1738.0,4.95,4.95,4.86,5.0,4.9,5.0,4.95,f,2,1,1,0,0.2
19,Ste & Juan,within a day,100%,88%,f,2.0,3.0,"['email', 'phone', 'work_email']",t,Castro/Upper Market,Entire home/apt,3,,2.0,,,5,25,5.0,5.0,25.0,25.0,5.0,25.0,t,2,4,4,4,88,4,0,4,4,44,,4.98,4.94,4.95,4.95,4.99,4.97,4.9,f,2,1,1,0,0.62
20,Tyler,within an hour,100%,100%,t,1.0,1.0,"['email', 'phone', 'work_email']",t,Bernal Heights,Private room,2,1.5,1.0,1.0,$150.00,2,9,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,12,42,72,72,329,19,0,72,20,209,31350.0,4.98,4.98,4.98,4.98,4.99,4.84,4.91,f,1,0,1,0,3.65
21,Sultan,within an hour,100%,100%,t,1.0,3.0,"['email', 'phone', 'work_email']",t,Russian Hill,Entire home/apt,2,1.0,1.0,1.0,$135.00,30,700,30.0,30.0,700.0,700.0,30.0,700.0,t,18,48,48,253,63,2,0,193,1,120,16200.0,4.86,4.94,4.9,5.0,5.0,4.97,4.7,f,1,1,0,0,0.5
22,Kenny,within an hour,100%,98%,t,3.0,3.0,"['email', 'phone']",t,Marina,Entire home/apt,6,2.0,2.0,3.0,"$1,440.00",2,30,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,12,41,63,150,1,0,0,150,0,0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,3,2,1,0,0.04
23,Kenny,within an hour,100%,98%,t,3.0,3.0,"['email', 'phone']",t,Marina,Entire home/apt,4,1.0,1.0,4.0,$309.00,1,28,1.0,1.0,28.0,28.0,1.0,28.0,t,15,44,67,154,245,38,2,154,35,255,78795.0,4.96,4.98,4.96,4.99,4.99,4.99,4.8,f,3,2,1,0,3.52
24,Kenny,within an hour,100%,98%,t,3.0,3.0,"['email', 'phone']",t,Marina,Private room,2,1.0,1.0,1.0,$296.00,1,28,1.0,1.0,1125.0,1125.0,1.0,1125.0,t,23,53,81,258,140,28,1,258,27,255,75480.0,4.98,4.95,4.99,4.96,4.95,5.0,4.79,f,3,2,1,0,2.98
25,Michelle,within an hour,100%,100%,t,2.0,2.0,"['email', 'phone', 'work_email']",f,West of Twin Peaks,Entire home/apt,2,1.0,0.0,1.0,$108.00,2,30,1.0,2.0,1125.0,1125.0,2.0,1125.0,t,20,43,57,282,484,48,4,222,47,255,27540.0,4.95,4.97,4.91,4.95,4.93,4.86,4.86,f,2,2,0,0,4.2
26,Michelle,within an hour,100%,100%,t,2.0,2.0,"['email', 'phone', 'work_email']",f,West of Twin Peaks,Entire home/apt,3,1.0,1.0,2.0,$141.00,2,30,2.0,2.0,30.0,30.0,2.0,30.0,t,15,31,53,316,518,54,3,256,50,255,35955.0,4.89,4.94,4.86,4.97,4.93,4.87,4.78,f,2,2,0,0,4.35
27,Sarah,within an hour,100%,90%,f,2.0,2.0,"['email', 'phone', 'work_email']",t,South of Market,Private room,2,1.0,1.0,1.0,$119.00,2,7,1.0,2.0,7.0,7.0,2.0,7.0,t,13,20,33,105,0,0,0,105,0,0,0.0,,,,,,,,f,2,1,1,0,
28,Sarah,within an hour,100%,90%,f,2.0,2.0,"['email', 'phone', 'work_email']",t,South of Market,Entire home/apt,4,2.0,2.0,2.0,$335.00,2,21,2.0,2.0,21.0,21.0,2.0,21.0,t,4,5,14,32,1,1,1,32,0,11,3685.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,2,1,1,0,1.0
29,Vi,,,,f,1.0,1.0,"['email', 'phone']",t,Outer Richmond,Private room,4,1.0,1.0,4.0,$99.00,30,90,30.0,30.0,90.0,90.0,30.0,90.0,t,27,57,87,87,5,0,0,87,0,0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,4.8,f,1,0,1,0,0.08
30,Hank,within an hour,100%,99%,t,1.0,1.0,"['email', 'phone']",t,Outer Richmond,Entire home/apt,2,1.0,1.0,1.0,$192.00,2,9,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,5,15,34,34,293,56,2,34,57,255,48960.0,4.99,4.99,4.98,4.95,4.97,4.97,4.9,f,1,1,0,0,4.05
31,Shaun,within an hour,100%,100%,t,5.0,14.0,"['email', 'phone']",f,Outer Sunset,Private room,2,1.0,1.0,1.0,$99.00,2,28,2.0,2.0,28.0,28.0,2.0,28.0,t,29,59,89,364,59,19,1,305,20,209,20691.0,4.93,4.97,4.92,5.0,4.97,4.86,4.9,t,3,2,1,0,1.82
32,Shaun,within an hour,100%,100%,t,5.0,14.0,"['email', 'phone']",f,Outer Sunset,Entire home/apt,8,2.0,3.0,5.0,$374.00,2,28,2.0,2.0,28.0,28.0,2.0,28.0,t,17,35,53,286,107,39,1,227,36,255,95370.0,4.92,4.93,4.86,4.99,4.98,4.86,4.87,t,3,2,1,0,3.33
33,Shaun,within an hour,100%,100%,t,5.0,14.0,"['email', 'phone']",f,Outer Sunset,Entire home/apt,5,2.0,2.0,3.0,$325.00,2,28,2.0,2.0,28.0,28.0,2.0,28.0,t,17,35,53,191,6,3,0,191,3,33,10725.0,5.0,5.0,4.67,5.0,5.0,4.5,4.83,f,3,2,1,0,0.18
34,Mariya,within a few hours,88%,73%,f,3.0,3.0,['phone'],t,Western Addition,Private room,1,1.0,1.0,1.0,$35.00,30,90,30.0,30.0,90.0,90.0,30.0,90.0,t,0,0,1,200,0,0,0,141,0,0,0.0,,,,,,,,f,3,1,2,0,
35,Mariya,within a few hours,88%,73%,f,3.0,3.0,['phone'],t,Western Addition,Private room,1,1.0,1.0,1.0,$46.00,30,90,30.0,30.0,90.0,90.0,30.0,90.0,t,0,5,21,222,1,1,0,163,1,60,2760.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,f,3,1,2,0,0.26
36,Mariya,within a few hours,88%,73%,f,3.0,3.0,['phone'],t,Western Addition,Entire home/apt,1,1.0,1.0,1.0,$50.00,30,60,30.0,30.0,60.0,60.0,30.0,60.0,t,9,21,51,279,2,2,0,220,2,120,6000.0,2.5,2.5,4.0,4.5,3.5,4.5,3.0,f,3,1,2,0,0.49
37,Megan,within an hour,100%,100%,,5.0,12.0,"['email', 'phone']",t,Parkside,Entire home/apt,7,2.0,2.0,4.0,$266.00,2,28,2.0,2.0,28.0,28.0,2.0,28.0,t,18,32,53,201,19,19,1,201,17,209,55594.0,4.84,4.79,4.89,5.0,5.0,4.95,4.84,t,1,1,0,0,2.07
38,Kaleen,within an hour,100%,100%,t,1.0,1.0,"['email', 'phone']",t,Western Addition,Entire home/apt,4,2.0,2.0,2.0,$145.00,30,365,30.0,30.0,1125.0,1125.0,30.0,1125.0,t,0,23,27,219,160,6,1,160,5,255,36975.0,4.81,4.79,4.64,4.94,4.9,4.75,4.69,t,1,1,0,0,1.17
39,Joshua,within an hour,100%,100%,,5.0,5.0,['phone'],t,Outer Sunset,Entire home/apt,8,2.0,3.0,4.0,$641.00,2,28,2.0,2.0,28.0,28.0,2.0,28.0,t,22,37,67,147,19,19,3,147,14,209,133969.0,4.95,4.89,4.95,5.0,5.0,4.74,4.68,f,1,1,0,0,2.49
40,Jan,within an hour,100%,81%,f,22.0,35.0,"['email', 'phone', 'work_email']",t,Haight Ashbury,Entire home/apt,2,1.0,0.0,1.0,$104.00,30,365,30.0,30.0,365.0,365.0,30.0,365.0,t,0,0,0,243,0,0,0,184,0,0,0.0,,,,,,,,t,20,20,0,0,
41,Jan,within an hour,100%,81%,f,22.0,35.0,"['email', 'phone', 'work_email']",t,Mission,Entire home/apt,4,1.0,2.0,2.0,$130.00,30,365,30.0,30.0,365.0,365.0,30.0,365.0,t,0,0,0,243,0,0,0,184,0,0,0.0,,,,,,,,t,20,20,0,0,
42,Jan,within an hour,100%,81%,f,22.0,35.0,"['email', 'phone', 'work_email']",t,Haight Ashbury,Entire home/apt,3,1.0,1.0,1.0,$127.00,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,t,0,0,0,244,2,0,0,184,0,0,0.0,5.0,4.0,5.0,4.5,4.5,5.0,5.0,f,20,20,0,0,0.02
43,Jan,within an hour,100%,81%,f,22.0,35.0,"['email', 'phone', 'work_email']",t,Western Addition,Entire home/apt,2,1.0,0.0,1.0,$85.00,30,180,30.0,30.0,180.0,180.0,30.0,180.0,t,0,0,0,244,2,0,0,184,0,0,0.0,5.0,5.0,5.0,4.5,4.5,5.0,5.0,f,20,20,0,0,0.05
44,Jan,within an hour,100%,81%,f,22.0,35.0,"['email', 'phone', 'work_email']",t,Haight Ashbury,Entire home/apt,3,1.0,1.0,1.0,$90.00,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,t,13,13,40,285,16,2,0,226,2,120,10800.0,4.75,4.75,4.69,4.88,4.75,5.0,4.94,t,20,20,0,0,0.2
45,Jan,within an hour,100%,81%,f,22.0,35.0,"['email', 'phone', 'work_email']",t,Haight Ashbury,Entire home/apt,4,1.0,2.0,3.0,$160.00,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,t,0,0,0,243,1,0,0,184,0,0,0.0,2.0,2.0,2.0,4.0,3.0,5.0,3.0,t,20,20,0,0,0.01
46,Jan,within an hour,100%,81%,f,22.0,35.0,"['email', 'phone', 'work_email']",t,Western Addition,Entire home/apt,5,1.0,2.0,5.0,$140.00,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,t,0,0,0,244,0,0,0,184,0,0,0.0,,,,,,,,t,20,20,0,0,
47,Jan,within an hour,100%,81%,f,22.0,35.0,"['email', 'phone', 'work_email']",t,Haight Ashbury,Entire home/apt,4,1.0,1.0,1.0,$105.00,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,t,0,0,0,244,6,0,0,184,0,0,0.0,3.67,4.33,3.83,4.33,4.67,4.67,4.33,t,20,20,0,0,0.07
48,Jan,within an hour,100%,81%,f,22.0,35.0,"['email', 'phone', 'work_email']",t,Inner Sunset,Entire home/apt,3,1.0,0.0,1.0,$90.00,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,t,0,0,0,244,5,0,0,184,0,0,0.0,4.6,4.4,4.8,4.8,5.0,5.0,5.0,f,20,20,0,0,0.08
49,Jan,within an hour,100%,81%,f,22.0,35.0,"['email', 'phone', 'work_email']",t,Inner Richmond,Entire home/apt,2,1.0,1.0,1.0,$108.00,30,365,30.0,30.0,365.0,365.0,30.0,365.0,t,0,0,0,243,1,0,0,184,0,0,0.0,3.0,5.0,3.0,5.0,5.0,5.0,3.0,t,20,20,0,0,0.04
50,Jan,within an hour,100%,81%,f,22.0,35.0,"['email', 'phone', 'work_email']",t,Pacific Heights,Entire home/apt,3,1.0,1.0,1.0,$125.00,30,180,30.0,30.0,1125.0,1125.0,30.0,1125.0,t,26,26,56,331,3,2,0,271,2,120,15000.0,4.33,5.0,4.0,4.0,4.33,5.0,4.67,t,20,20,0,0,0.13
51,Jan,within an hour,100%,81%,f,22.0,35.0,"['email', 'phone', 'work_email']",t,Western Addition,Entire home/apt,4,1.0,2.0,3.0,$183.00,30,365,30.0,30.0,365.0,365.0,30.0,365.0,t,1,31,61,335,1,1,0,276,1,60,10980.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,20,20,0,0,0.21
52,Jan,within an hour,100%,81%,f,22.0,35.0,"['email', 'phone', 'work_email']",t,Pacific Heights,Entire home/apt,2,1.0,0.0,1.0,$95.00,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,t,0,0,0,274,4,0,0,214,0,0,0.0,3.25,4.25,4.0,3.5,3.75,4.75,3.0,t,20,20,0,0,0.05
53,Jan,within an hour,100%,81%,f,22.0,35.0,"['email', 'phone', 'work_email']",t,Pacific Heights,Entire home/apt,2,1.0,0.0,1.0,$95.00,30,180,30.0,30.0,1125.0,1125.0,30.0,1125.0,t,6,7,37,312,2,0,0,252,0,0,0.0,4.0,3.0,3.5,4.0,5.0,5.0,4.0,t,20,20,0,0,0.05
54,Jan,within an hour,100%,81%,f,22.0,35.0,"['email', 'phone', 'work_email']",t,Inner Richmond,Entire home/apt,4,1.0,2.0,2.0,$130.00,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,t,0,0,0,244,4,0,0,184,0,0,0.0,4.0,4.0,4.0,4.75,4.25,4.75,4.0,t,20,20,0,0,0.07
55,Jan,within an hour,100%,81%,f,22.0,35.0,"['email', 'phone', 'work_email']",t,Inner Sunset,Entire home/apt,2,1.0,0.0,1.0,$90.00,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,t,0,0,0,244,2,0,0,184,0,0,0.0,5.0,5.0,5.0,5.0,5.0,4.5,5.0,t,20,20,0,0,0.02
56,Jan,within an hour,100%,81%,f,22.0,35.0,"['email', 'phone', 'work_email']",t,Mission,Entire home/apt,2,1.0,1.0,1.0,$113.00,30,365,30.0,30.0,365.0,365.0,30.0,365.0,t,9,39,69,343,1,0,0,284,0,0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,20,20,0,0,0.05
57,Jan,within an hour,100%,81%,f,22.0,35.0,"['email', 'phone', 'work_email']",t,Haight Ashbury,Entire home/apt,5,1.0,2.0,2.0,$125.00,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,t,0,0,0,244,5,1,0,184,1,60,7500.0,4.2,3.6,4.4,4.6,4.4,4.6,4.6,t,20,20,0,0,0.09
58,Jan,within an hour,100%,81%,f,22.0,35.0,"['email', 'phone', 'work_email']",t,Inner Sunset,Entire home/apt,2,1.0,0.0,1.0,$83.00,31,180,31.0,31.0,180.0,180.0,31.0,180.0,t,0,4,34,278,4,2,0,218,2,124,10292.0,3.5,3.5,4.25,3.5,3.75,4.0,3.5,t,20,20,0,0,0.13
59,Jan,within an hour,100%,81%,f,22.0,35.0,"['email', 'phone', 'work_email']",t,Outer Richmond,Entire home/apt,3,1.0,1.0,1.0,$108.00,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,t,19,49,79,354,0,0,0,294,0,0,0.0,,,,,,,,t,20,20,0,0,
60,Zachary,within an hour,100%,86%,t,1.0,1.0,"['email', 'phone']",t,Inner Richmond,Entire home/apt,4,1.0,0.0,2.0,$119.00,3,28,3.0,3.0,28.0,28.0,3.0,28.0,t,6,25,51,55,103,44,4,55,45,255,30345.0,4.94,4.89,4.96,4.96,4.94,4.9,4.84,f,1,1,0,0,3.97
61,Lan,within a few hours,100%,92%,t,3.0,3.0,"['email', 'phone', 'work_email']",t,Western Addition,Private room,1,1.0,1.0,1.0,$59.00,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,t,15,45,75,350,14,3,0,291,2,180,10620.0,5.0,4.93,4.71,5.0,5.0,4.93,5.0,f,3,0,3,0,0.39
62,Lan,within a few hours,100%,92%,t,3.0,3.0,"['email', 'phone', 'work_email']",t,Western Addition,Private room,1,1.0,1.0,1.0,$54.00,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,t,3,29,39,240,16,5,0,181,6,255,13770.0,5.0,4.94,4.94,5.0,5.0,4.81,4.88,f,3,0,3,0,0.46
63,Lan,within a few hours,100%,92%,t,3.0,3.0,"['email', 'phone', 'work_email']",t,Western Addition,Private room,1,1.0,1.0,1.0,$67.00,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,t,28,58,88,363,13,4,0,304,5,240,16080.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,3,0,3,0,0.38
64,Mara,within a few hours,90%,95%,t,4.0,6.0,"['email', 'phone']",t,Haight Ashbury,Entire home/apt,2,1.0,1.0,1.0,$198.00,7,45,7.0,7.0,45.0,45.0,7.0,45.0,t,7,31,54,208,14,10,1,208,13,140,27720.0,4.93,4.86,4.79,4.93,4.93,4.93,4.79,f,1,1,0,0,1.0
65,Toni,within a few hours,100%,96%,f,1.0,1.0,['phone'],t,Castro/Upper Market,Entire home/apt,2,1.0,1.0,1.0,$204.00,4,90,4.0,4.0,1125.0,1125.0,4.0,1125.0,t,22,52,81,356,126,11,0,297,12,121,24684.0,4.91,4.91,4.94,4.93,4.96,4.91,4.71,t,1,1,0,0,1.39
66,Mario,within an hour,100%,100%,t,3.0,3.0,"['email', 'phone', 'work_email']",t,Western Addition,Entire home/apt,4,1.0,1.0,2.0,$250.00,30,180,30.0,30.0,1125.0,1125.0,30.0,1125.0,t,0,0,2,205,179,5,0,146,6,255,63750.0,4.96,4.97,4.94,4.91,4.98,4.88,4.91,f,1,1,0,0,1.29
67,E J,within a few hours,100%,100%,f,1.0,9.0,"['email', 'phone']",t,Western Addition,Entire home/apt,4,1.5,4.0,4.0,$175.00,30,300,30.0,30.0,300.0,300.0,30.0,300.0,t,10,10,10,192,67,1,0,132,1,60,10500.0,4.78,4.82,4.9,4.91,4.88,4.88,4.8,f,1,1,0,0,0.58
68,Janet,within an hour,100%,99%,f,2.0,2.0,"['email', 'phone']",t,Mission,Private room,2,1.0,1.0,1.0,$105.00,1,28,1.0,1.0,1125.0,1125.0,1.0,1125.0,t,5,23,45,134,454,43,5,134,35,255,26775.0,4.9,4.94,4.78,4.93,4.95,4.93,4.82,f,2,0,2,0,3.14
69,Janet,within an hour,100%,99%,f,2.0,2.0,"['email', 'phone']",t,Mission,Private room,2,2.0,1.0,1.0,$117.00,1,28,1.0,1.0,1125.0,1125.0,1.0,1125.0,t,19,44,74,163,491,21,2,163,19,231,27027.0,4.88,4.91,4.77,4.93,4.93,4.94,4.77,f,2,0,2,0,3.31
70,Sean,within an hour,100%,99%,t,1.0,1.0,"['email', 'phone']",t,Visitacion Valley,Entire home/apt,5,1.0,2.0,3.0,$109.00,1,30,1.0,3.0,1125.0,1125.0,1.0,1125.0,t,8,18,34,97,202,95,6,97,89,255,27795.0,4.84,4.78,4.77,4.98,4.97,4.78,4.81,f,1,1,0,0,6.62
71,Sophia,within an hour,100%,100%,t,1.0,2.0,"['email', 'phone']",t,Excelsior,Entire home/apt,2,1.0,1.0,2.0,$137.00,2,20,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,29,57,86,87,117,31,1,87,28,255,34935.0,4.91,4.93,4.98,4.97,4.97,4.81,4.81,t,1,1,0,0,1.62
72,Melissa,within a few hours,100%,67%,f,1.0,1.0,['phone'],t,Marina,Entire home/apt,2,1.0,1.0,2.0,$200.00,30,120,30.0,30.0,120.0,120.0,30.0,120.0,t,0,0,0,178,4,2,0,178,2,120,24000.0,5.0,5.0,5.0,5.0,5.0,5.0,4.75,f,1,1,0,0,0.24
73,Kenyon / Irma,,,,f,1.0,5.0,"['email', 'phone']",t,Western Addition,Entire home/apt,4,2.5,3.0,4.0,$250.00,30,365,30.0,30.0,365.0,365.0,30.0,365.0,t,28,58,88,362,1,0,0,303,0,0,0.0,3.0,4.0,1.0,5.0,5.0,4.0,2.0,f,1,1,0,0,0.04
74,Marit,within a few hours,75%,100%,f,2.0,2.0,"['email', 'phone']",t,Noe Valley,Entire home/apt,4,1.0,2.0,2.0,$290.00,30,365,30.0,30.0,365.0,365.0,30.0,365.0,t,0,30,60,149,1,1,0,149,1,60,17400.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,f,2,2,0,0,0.19
75,Marit,within a few hours,75%,100%,f,2.0,2.0,"['email', 'phone']",t,Noe Valley,Entire home/apt,6,1.5,3.0,3.0,$494.00,30,365,30.0,30.0,365.0,365.0,30.0,365.0,t,1,31,61,335,0,0,0,276,0,0,0.0,,,,,,,,f,2,2,0,0,
76,Kadri,within a few hours,80%,11%,,3.0,3.0,"['email', 'phone']",t,Noe Valley,Entire home/apt,8,,3.0,,,1,365,1.0,1.0,365.0,365.0,1.0,365.0,t,0,30,60,150,0,0,0,91,0,0,,,,,,,,,f,1,1,0,0,
77,Mukt,within a few hours,100%,86%,t,1.0,4.0,"['email', 'phone', 'work_email']",t,Excelsior,Private room,1,2.0,2.0,1.0,$51.00,2,90,2.0,2.0,90.0,90.0,2.0,90.0,t,0,0,11,11,138,3,0,11,3,33,1683.0,4.74,4.64,4.38,4.85,4.8,4.29,4.6,f,1,0,1,0,0.84
78,Dan,within an hour,100%,98%,t,1.0,2.0,"['email', 'phone']",t,Castro/Upper Market,Entire home/apt,2,1.0,1.0,1.0,$223.00,1,29,1.0,1.0,29.0,29.0,1.0,29.0,t,10,40,69,159,616,43,5,159,41,255,56865.0,4.98,4.98,4.98,4.99,4.99,4.99,4.89,f,1,1,0,0,5.13
79,Christine,within an hour,100%,100%,t,1.0,1.0,"['email', 'phone']",t,Noe Valley,Entire home/apt,3,1.0,1.0,1.0,$191.00,1,29,1.0,1.0,1125.0,1125.0,1.0,1125.0,t,14,39,57,301,85,38,6,242,39,255,48705.0,4.95,4.99,4.98,5.0,4.99,4.94,4.91,f,1,1,0,0,3.72
