,host_name,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,host_identity_verified,neighbourhood_cleansed,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
5986,Stanford Court,within an hour,100%,99%,f,13.0,13.0,"['email', 'phone']",t,Nob Hill,Hotel room,2,1.0,1.0,1.0,$204.00,1,1125,1.0,4.0,999.0,1125.0,1.0,1008.7,t,26,53,83,322,20,0,0,298,0,0,0.0,4.3,4.45,4.6,4.05,4.3,4.8,4.3,t,10,0,0,0,0.29
5987,Ryan And Meghan,within a few hours,100%,91%,f,1.0,1.0,"['email', 'phone']",t,Parkside,Entire home/apt,4,1.0,2.0,2.0,$200.00,3,125,3.0,3.0,125.0,125.0,3.0,125.0,t,8,16,45,45,162,6,0,45,6,66,13200.0,4.97,5.0,4.97,4.98,4.98,4.87,4.86,f,1,1,0,0,1.74
5988,Gary,,,,f,1.0,1.0,"['email', 'phone', 'work_email']",t,North Beach,Entire home/apt,4,,2.0,,,30,90,30.0,30.0,90.0,90.0,30.0,90.0,t,0,0,0,0,3,0,0,0,0,0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0,0.03
5989,Ingrid,within a few hours,100%,100%,t,1.0,1.0,"['email', 'phone']",f,Mission,Private room,2,1.0,1.0,1.0,$124.00,3,27,3.0,3.0,27.0,27.0,3.0,27.0,t,12,16,18,127,351,39,3,127,40,255,31620.0,4.93,4.95,4.95,4.96,4.96,4.76,4.83,f,1,0,1,0,2.54
5990,Grant,,,,f,1.0,1.0,"['email', 'phone']",t,Nob Hill,Entire home/apt,4,1.0,1.0,1.0,$299.00,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,t,3,33,63,242,5,0,0,242,0,0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0,0.12
5991,Lauren,within a few hours,100%,0%,f,1.0,2.0,"['email', 'phone']",t,Noe Valley,Entire home/apt,4,2.0,2.0,2.0,$232.00,30,365,30.0,30.0,365.0,365.0,30.0,365.0,t,0,0,0,212,1,0,0,153,0,0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0,0.05
5992,Philip And Tania,within a few hours,86%,92%,f,2.0,2.0,"['email', 'phone', 'work_email']",t,Bernal Heights,Entire home/apt,4,2.0,2.0,2.0,$235.00,30,60,30.0,30.0,60.0,60.0,30.0,60.0,t,30,60,90,365,110,0,0,305,0,0,0.0,4.88,4.85,4.87,4.89,4.85,4.77,4.68,f,1,1,0,0,0.57
5993,Tina,within an hour,100%,43%,f,7.0,26.0,"['email', 'phone']",t,Downtown/Civic Center,Private room,4,1.0,1.0,2.0,$248.00,3,7,3.0,3.0,7.0,7.0,3.0,7.0,t,18,48,78,348,0,0,0,293,0,0,0.0,,,,,,,,f,2,0,2,0,
5994,Tina,within an hour,100%,43%,f,7.0,26.0,"['email', 'phone']",t,Russian Hill,Private room,4,,1.0,,,3,7,3.0,3.0,7.0,7.0,3.0,7.0,t,24,54,83,100,0,0,0,83,0,0,,,,,,,,,f,2,0,2,0,
5995,Katie,within a day,100%,63%,t,1.0,1.0,"['email', 'phone']",t,Potrero Hill,Entire home/apt,2,1.0,1.0,1.0,$190.00,30,180,30.0,30.0,180.0,180.0,30.0,180.0,t,21,27,41,208,172,5,1,149,5,255,48450.0,4.98,4.98,4.97,4.98,4.97,4.79,4.81,f,1,1,0,0,1.2
5996,Mubasher,a few days or more,0%,0%,f,1.0,1.0,"['email', 'phone']",t,Bayview,Entire home/apt,5,1.0,0.0,2.0,$45.00,30,90,30.0,30.0,1125.0,1125.0,30.0,1125.0,t,30,60,90,179,0,0,0,179,0,0,0.0,,,,,,,,f,1,1,0,0,
5997,Angela,within a day,100%,100%,t,1.0,5.0,"['email', 'phone']",t,Castro/Upper Market,Entire home/apt,4,2.0,2.0,2.0,$260.00,30,90,30.0,30.0,1125.0,1125.0,30.0,1125.0,t,29,37,67,271,7,2,0,212,2,120,31200.0,5.0,5.0,5.0,5.0,5.0,4.86,4.57,f,1,1,0,0,0.24
5998,Darragh,within an hour,100%,40%,f,1.0,1.0,"['email', 'phone']",t,Bernal Heights,Entire home/apt,7,3.0,4.0,4.0,$436.00,7,70,1.0,7.0,70.0,70.0,7.0,70.0,t,0,0,0,28,5,0,0,28,0,0,0.0,4.6,5.0,4.4,5.0,5.0,5.0,5.0,f,1,1,0,0,0.04
5999,Jacob,,,,f,1.0,1.0,"['email', 'phone']",t,Inner Richmond,Entire home/apt,6,1.5,3.0,2.0,$440.00,30,365,30.0,30.0,365.0,365.0,30.0,365.0,,30,60,90,269,0,0,0,269,0,0,0.0,,,,,,,,f,1,1,0,0,
6000,Nicholas,within an hour,100%,96%,t,2.0,2.0,"['email', 'phone']",t,Mission,Entire home/apt,8,1.0,3.0,5.0,$495.00,1,29,1.0,2.0,29.0,29.0,1.3,29.0,t,27,50,80,259,39,18,0,259,19,198,98010.0,4.9,4.97,4.95,4.95,4.87,4.87,4.74,t,1,1,0,0,1.74
6001,Yael,,,,f,1.0,3.0,"['email', 'phone']",t,Bernal Heights,Entire home/apt,4,,3.0,,,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,t,0,0,0,0,1,0,0,0,0,0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,1,1,0,0,0.02
6002,Hoai,within an hour,100%,100%,f,1.0,1.0,"['email', 'phone']",f,Downtown/Civic Center,Entire home/apt,3,1.0,1.0,2.0,$145.00,30,365,30.0,30.0,365.0,365.0,30.0,365.0,t,3,33,63,337,1,1,1,278,0,60,8700.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,t,1,1,0,0,1.0
6003,Keyur,within an hour,100%,100%,f,5.0,5.0,"['email', 'phone']",t,Mission,Entire home/apt,6,2.0,3.0,3.0,$249.00,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,t,24,54,71,172,8,5,1,172,4,255,63495.0,4.63,4.5,4.5,5.0,5.0,4.88,4.5,f,4,4,0,0,0.19
6004,Keyur,within an hour,100%,100%,f,5.0,5.0,"['email', 'phone']",t,Mission,Entire home/apt,6,2.0,3.0,3.0,$210.00,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,t,0,21,38,140,4,3,0,140,3,180,37800.0,5.0,5.0,5.0,5.0,5.0,4.75,4.5,f,4,4,0,0,0.13
6005,Keyur,within an hour,100%,100%,f,5.0,5.0,"['email', 'phone']",t,Bernal Heights,Entire home/apt,4,1.0,2.0,3.0,$175.00,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,t,1,31,61,240,1,0,0,240,0,0,0.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,f,4,4,0,0,0.05
6006,Keyur,within an hour,100%,100%,f,5.0,5.0,"['email', 'phone']",t,Mission,Entire home/apt,4,1.0,2.0,2.0,$175.00,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,t,0,0,27,116,5,1,0,116,1,60,10500.0,5.0,5.0,4.8,5.0,5.0,4.6,5.0,f,4,4,0,0,0.12
6007,Denis,within a day,100%,,f,1.0,2.0,"['email', 'phone']",f,Parkside,Entire home/apt,4,1.0,2.0,2.0,$384.00,7,19,6.0,7.0,19.0,19.0,6.9,19.0,t,0,0,0,60,15,0,0,60,0,0,0.0,4.8,4.87,4.8,4.73,4.8,4.67,4.47,f,1,1,0,0,0.16
6008,Ahmad,within an hour,100%,100%,f,1.0,1.0,"['email', 'phone']",t,Downtown/Civic Center,Entire home/apt,4,1.0,2.0,2.0,$102.00,30,365,30.0,30.0,365.0,365.0,30.0,365.0,t,19,44,74,349,7,0,0,289,1,0,0.0,4.43,4.71,4.71,4.86,4.86,3.29,4.14,f,1,1,0,0,0.15
6009,Harbor Court Hotel,within an hour,100%,95%,f,10.0,10.0,['phone'],t,Financial District,Private room,2,,1.0,,,1,365,1.0,1.0,28.0,731.0,1.0,571.3,t,22,45,73,90,42,40,0,90,42,255,,4.6,4.52,4.86,4.83,4.79,4.83,4.45,t,9,0,9,0,3.26
